"","OBJECTID","gap_number","plot_id","Fd","ZONAL_UNIT","SS1","SS1_","SS2","SS2_","SS3","SS3_","SS_name","SI"
"177",223,9,"9_ 223",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"178",224,95,"95_ 224",2000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"179",226,177,"177_ 226",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"180",227,175,"175_ 227",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"181",228,176,"176_ 228",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"182",229,162,"162_ 229",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"183",231,115,"115_ 231",12000,"IDFdk3",5,0.5,1,0.4,8,0.1,"FdPl - Pinegrass - Feathermoss",17.1
"184",233,75,"75_ 233",6000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"185",235,20,"20_ 235",5000,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"186",237,205,"205_ 237",2000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"187",238,2,"2_ 238",1000,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"188",239,20,"20_ 239",10000,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"189",240,220,"220_ 240",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"190",242,170,"170_ 242",30000,"IDFdk3",5,1,NA,NA,NA,NA,NA,NA
"191",243,218,"218_ 243",7000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"192",244,124,"124_ 244",0,"IDFdk3",5,0.7,8,0.2,1,0.1,"SxwFd - Prickly rose - Sarsaparilla",21.9
"193",245,203,"203_ 245",2000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"194",246,216,"216_ 246",3000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"195",248,196,"196_ 248",0,"IDFdk3",8,1,NA,NA,NA,NA,NA,NA
"196",249,149,"149_ 249",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"197",250,189,"189_ 250",10000,"IDFdk3",1,0.8,8,0.2,NA,NA,"SxwFd - Prickly rose - Sarsaparilla",21.9
"198",251,115,"115_ 251",2000,"IDFdk3",5,0.5,1,0.4,8,0.1,"FdPl - Pinegrass - Feathermoss",17.1
"199",252,76,"76_ 252",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"200",254,108,"108_ 254",1000,"IDFdk3",8,0.5,1,0.3,7,0.2,"FdPl - Pinegrass - Feathermoss",17.1
"201",255,147,"147_ 255",11000,"IDFdk3",8,0.5,4,0.3,5,0.2,"Fd - Bluebunch wheatgrass - Needlegrass",12
"202",257,202,"202_ 257",0,"IDFdk3",1,0.8,8,0.2,NA,NA,"SxwFd - Prickly rose - Sarsaparilla",21.9
"203",258,76,"76_ 258",10000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
